epoch: 7800 to 50000, average reward: 4.07, average steps: 37.1, exploration: 0.84198
epoch: 7900 to 50000, average reward: 3.44, average steps: 36.28, exploration: 0.83998
epoch: 8000 to 50000, average reward: 3.6, average steps: 41.1, exploration: 0.83798
epoch: 8100 to 50000, average reward: 3.25, average steps: 36.6, exploration: 0.83598
epoch: 8200 to 50000, average reward: 3.55, average steps: 32.78, exploration: 0.83398
epoch: 8300 to 50000, average reward: 3.14, average steps: 35.77, exploration: 0.83198
epoch: 8400 to 50000, average reward: 4.03, average steps: 35.74, exploration: 0.82998
epoch: 8500 to 50000, average reward: 3.38, average steps: 37.54, exploration: 0.82798
epoch: 8600 to 50000, average reward: 2.93, average steps: 32.34, exploration: 0.82598
epoch: 8700 to 50000, average reward: 2.82, average steps: 38.6, exploration: 0.82398
epoch: 8800 to 50000, average reward: 3.36, average steps: 36.82, exploration: 0.82198
epoch: 8900 to 50000, average reward: 2.99, average steps: 33.93, exploration: 0.81998
epoch: 9000 to 50000, average reward: 3.87, average steps: 40.69, exploration: 0.81798
epoch: 9100 to 50000, average reward: 3.81, average steps: 34.96, exploration: 0.81598
epoch: 9200 to 50000, average reward: 3.34, average steps: 35.81, exploration: 0.81398
epoch: 9300 to 50000, average reward: 3.18, average steps: 37.42, exploration: 0.81198
epoch: 9400 to 50000, average reward: 3.31, average steps: 35.16, exploration: 0.80998
epoch: 9500 to 50000, average reward: 2.77, average steps: 33.56, exploration: 0.80798
epoch: 9600 to 50000, average reward: 2.3, average steps: 34.71, exploration: 0.80598
epoch: 9700 to 50000, average reward: 3.7, average steps: 38, exploration: 0.80398
epoch: 9800 to 50000, average reward: 3.57, average steps: 33.65, exploration: 0.80198
epoch: 9900 to 50000, average reward: 3.38, average steps: 40.9, exploration: 0.79998
epoch: 10000 to 50000, average reward: 3.42, average steps: 41.94, exploration: 0.79798
epoch: 10100 to 50000, average reward: 3.94, average steps: 35.98, exploration: 0.79598
epoch: 10200 to 50000, average reward: 3.94, average steps: 39.38, exploration: 0.79398
epoch: 10300 to 50000, average reward: 3.91, average steps: 38.18, exploration: 0.79198
epoch: 10400 to 50000, average reward: 3.39, average steps: 34.22, exploration: 0.78998
epoch: 10500 to 50000, average reward: 3.7, average steps: 41.53, exploration: 0.78798
epoch: 10600 to 50000, average reward: 3.13, average steps: 35.57, exploration: 0.78598
epoch: 10700 to 50000, average reward: 3.91, average steps: 41.87, exploration: 0.78398
epoch: 10800 to 50000, average reward: 4.04, average steps: 39.75, exploration: 0.78198
epoch: 10900 to 50000, average reward: 4.03, average steps: 38.97, exploration: 0.77998
epoch: 11000 to 50000, average reward: 4, average steps: 38.04, exploration: 0.77798
epoch: 11100 to 50000, average reward: 3.42, average steps: 35.37, exploration: 0.77598
epoch: 11200 to 50000, average reward: 2.49, average steps: 34.36, exploration: 0.77398
epoch: 11300 to 50000, average reward: 3.68, average steps: 37.29, exploration: 0.77198
epoch: 11400 to 50000, average reward: 2.91, average steps: 35.1, exploration: 0.76998
epoch: 11500 to 50000, average reward: 3.41, average steps: 35.15, exploration: 0.76798
epoch: 11600 to 50000, average reward: 3.15, average steps: 36.21, exploration: 0.76598
epoch: 11700 to 50000, average reward: 3.6, average steps: 37.84, exploration: 0.76398
epoch: 11800 to 50000, average reward: 3.15, average steps: 32.76, exploration: 0.76198
epoch: 11900 to 50000, average reward: 4.06, average steps: 36.62, exploration: 0.75998
epoch: 12000 to 50000, average reward: 3.86, average steps: 40.1, exploration: 0.75798
epoch: 12100 to 50000, average reward: 3.97, average steps: 36.77, exploration: 0.75598
epoch: 12200 to 50000, average reward: 3.71, average steps: 38.53, exploration: 0.75398
epoch: 12300 to 50000, average reward: 3.43, average steps: 35.7, exploration: 0.75198
epoch: 12400 to 50000, average reward: 4.44, average steps: 39.1, exploration: 0.74998
epoch: 12500 to 50000, average reward: 3.64, average steps: 42.81, exploration: 0.74798
epoch: 12600 to 50000, average reward: 3.79, average steps: 37.48, exploration: 0.74598
epoch: 12700 to 50000, average reward: 4.3, average steps: 41.65, exploration: 0.74398
epoch: 12800 to 50000, average reward: 4.62, average steps: 39.08, exploration: 0.74198
epoch: 12900 to 50000, average reward: 4.08, average steps: 37.31, exploration: 0.73998
epoch: 13000 to 50000, average reward: 3.19, average steps: 34.38, exploration: 0.73798
epoch: 13100 to 50000, average reward: 4.08, average steps: 40.54, exploration: 0.73598
epoch: 13200 to 50000, average reward: 3.83, average steps: 39.3, exploration: 0.73398
epoch: 13300 to 50000, average reward: 2.94, average steps: 42.8, exploration: 0.73198
epoch: 13400 to 50000, average reward: 4.67, average steps: 43.97, exploration: 0.72998
epoch: 13500 to 50000, average reward: 4.04, average steps: 39.5, exploration: 0.72798
epoch: 13600 to 50000, average reward: 3.94, average steps: 39.14, exploration: 0.72598
epoch: 13700 to 50000, average reward: 4.1, average steps: 41.62, exploration: 0.72398
epoch: 13800 to 50000, average reward: 3.48, average steps: 37.44, exploration: 0.72198
epoch: 13900 to 50000, average reward: 3.83, average steps: 39.52, exploration: 0.71998
epoch: 14000 to 50000, average reward: 3.69, average steps: 37.66, exploration: 0.71798
epoch: 14100 to 50000, average reward: 4.38, average steps: 37.3, exploration: 0.71598
epoch: 14200 to 50000, average reward: 4.11, average steps: 38.65, exploration: 0.71398
epoch: 14300 to 50000, average reward: 3.74, average steps: 35.84, exploration: 0.71198
epoch: 14400 to 50000, average reward: 3.7, average steps: 38.33, exploration: 0.70998
epoch: 14500 to 50000, average reward: 4.21, average steps: 45.17, exploration: 0.70798
epoch: 14600 to 50000, average reward: 3.25, average steps: 39.69, exploration: 0.70598
epoch: 14700 to 50000, average reward: 4.03, average steps: 35.7, exploration: 0.70398
epoch: 14800 to 50000, average reward: 4.08, average steps: 37.19, exploration: 0.70198
epoch: 14900 to 50000, average reward: 3.36, average steps: 36.83, exploration: 0.69998
epoch: 15000 to 50000, average reward: 4.59, average steps: 44.47, exploration: 0.69798
epoch: 15100 to 50000, average reward: 3.23, average steps: 35.68, exploration: 0.69598
epoch: 15200 to 50000, average reward: 3.33, average steps: 35.41, exploration: 0.69398
epoch: 15300 to 50000, average reward: 4.09, average steps: 41.02, exploration: 0.69198
epoch: 15400 to 50000, average reward: 3.37, average steps: 37.02, exploration: 0.68998
epoch: 15500 to 50000, average reward: 4.86, average steps: 39.95, exploration: 0.68798
epoch: 15600 to 50000, average reward: 3.95, average steps: 39.87, exploration: 0.68598
epoch: 15700 to 50000, average reward: 4.52, average steps: 42.15, exploration: 0.68398
epoch: 15800 to 50000, average reward: 3.91, average steps: 41.56, exploration: 0.68198
epoch: 15900 to 50000, average reward: 3.33, average steps: 39.11, exploration: 0.67998
epoch: 16000 to 50000, average reward: 4.3, average steps: 41.38, exploration: 0.67798
epoch: 16100 to 50000, average reward: 3.83, average steps: 39.03, exploration: 0.67598
epoch: 16200 to 50000, average reward: 3.33, average steps: 39.26, exploration: 0.67398
epoch: 16300 to 50000, average reward: 4.04, average steps: 39.35, exploration: 0.67198
epoch: 16400 to 50000, average reward: 4.16, average steps: 39.98, exploration: 0.66998
epoch: 16500 to 50000, average reward: 4.74, average steps: 42.84, exploration: 0.66798
epoch: 16600 to 50000, average reward: 4.11, average steps: 45.34, exploration: 0.66598
epoch: 16700 to 50000, average reward: 3.51, average steps: 41.43, exploration: 0.66398
epoch: 16800 to 50000, average reward: 4, average steps: 41.66, exploration: 0.66198
epoch: 16900 to 50000, average reward: 3.7, average steps: 41.3, exploration: 0.65998
epoch: 17000 to 50000, average reward: 4.64, average steps: 49.51, exploration: 0.65798
epoch: 17100 to 50000, average reward: 4.18, average steps: 40.9, exploration: 0.65598
epoch: 17200 to 50000, average reward: 4.52, average steps: 45.65, exploration: 0.65398
epoch: 17300 to 50000, average reward: 3.98, average steps: 40.59, exploration: 0.65198
epoch: 17400 to 50000, average reward: 4.62, average steps: 45.32, exploration: 0.64998
epoch: 17500 to 50000, average reward: 4.29, average steps: 44.68, exploration: 0.64798
epoch: 17600 to 50000, average reward: 3.61, average steps: 41.68, exploration: 0.64598
epoch: 17700 to 50000, average reward: 4.85, average steps: 43.15, exploration: 0.64398
epoch: 17800 to 50000, average reward: 3.89, average steps: 41, exploration: 0.64198
epoch: 17900 to 50000, average reward: 4.01, average steps: 41.45, exploration: 0.63998
epoch: 18000 to 50000, average reward: 3.83, average steps: 42.58, exploration: 0.63798
epoch: 18100 to 50000, average reward: 3.67, average steps: 43.8, exploration: 0.63598
epoch: 18200 to 50000, average reward: 3.8, average steps: 41.57, exploration: 0.63398
epoch: 18300 to 50000, average reward: 4.54, average steps: 46.13, exploration: 0.63198
epoch: 18400 to 50000, average reward: 4.63, average steps: 42.14, exploration: 0.62998
